Phase,PhaseIdent,X(m),Y(m),MaterialId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_2,Install Piled Wall [Phase_2],0.000000,18.200000,1,-0.000008,-0.000520,0.000520,-0.000008,-0.000520,0.000520,0.000520,-0.000008,-0.000000,-0.011716,-0.432814,0.000000,0.000000,0.000000
Phase_2,Install Piled Wall [Phase_2],0.000000,18.075000,1,-0.000006,-0.000520,0.000520,-0.000006,-0.000520,0.000520,0.000520,-0.000006,0.001871,0.048326,-1.761806,0.000000,-1.588692,0.559492
Phase_2,Install Piled Wall [Phase_2],0.000000,17.950000,1,-0.000004,-0.000520,0.000520,-0.000004,-0.000520,0.000520,0.000520,-0.000004,0.013237,0.133559,-3.124895,0.000000,-1.938395,0.906897
Phase_2,Install Piled Wall [Phase_2],0.000000,17.825000,1,-0.000002,-0.000520,0.000520,-0.000002,-0.000520,0.000520,0.000520,-0.000002,0.035722,0.229691,-4.508832,0.000000,-1.880654,0.733895
Phase_2,Install Piled Wall [Phase_2],0.000000,17.700000,1,0.000000,-0.000519,0.000519,0.000000,-0.000519,0.000519,0.000519,0.000000,0.070412,0.322430,-5.900369,0.000000,-1.885767,0.595671
Phase_2,Install Piled Wall [Phase_2],0.000000,17.700000,1,0.000000,-0.000519,0.000519,0.000000,-0.000519,0.000519,0.000519,0.000000,0.070412,0.317459,-5.896538,0.000000,-1.885767,0.595671
Phase_2,Install Piled Wall [Phase_2],0.000000,17.575000,1,0.000002,-0.000519,0.000519,0.000002,-0.000519,0.000519,0.000519,0.000002,0.114340,0.383160,-7.279253,0.000000,-1.813359,0.469303
Phase_2,Install Piled Wall [Phase_2],0.000000,17.450000,1,0.000005,-0.000519,0.000519,0.000005,-0.000519,0.000519,0.000519,0.000005,0.165610,0.434654,-8.650834,0.000000,-1.725194,0.352213
Phase_2,Install Piled Wall [Phase_2],0.000000,17.325000,1,0.000007,-0.000519,0.000519,0.000007,-0.000519,0.000519,0.000519,0.000007,0.222449,0.472218,-10.009480,0.000000,-1.606377,0.246411
Phase_2,Install Piled Wall [Phase_2],0.000000,17.200000,1,0.000009,-0.000519,0.000519,0.000009,-0.000519,0.000519,0.000519,0.000009,0.283096,0.496131,-11.353390,0.000000,-1.455396,0.162068
Phase_2,Install Piled Wall [Phase_2],0.000000,17.200000,1,0.000009,-0.000519,0.000519,0.000009,-0.000519,0.000519,0.000519,0.000009,0.283096,0.499681,-11.351857,0.000000,-1.455396,0.162068
Phase_2,Install Piled Wall [Phase_2],0.000000,17.075000,1,0.000011,-0.000519,0.000519,0.000011,-0.000519,0.000519,0.000519,0.000011,0.346393,0.513659,-12.675062,0.000000,-1.304262,0.128698
Phase_2,Install Piled Wall [Phase_2],0.000000,16.950000,1,0.000013,-0.000518,0.000519,0.000013,-0.000518,0.000519,0.000518,0.000013,0.411654,0.531291,-13.978679,0.000000,-1.143051,0.142677
Phase_2,Install Piled Wall [Phase_2],0.000000,16.825000,1,0.000015,-0.000518,0.000518,0.000015,-0.000518,0.000518,0.000518,0.000015,0.479459,0.554033,-15.261525,0.000000,-0.971882,0.210478
Phase_2,Install Piled Wall [Phase_2],0.000000,16.700000,1,0.000017,-0.000518,0.000518,0.000017,-0.000518,0.000518,0.000518,0.000017,0.550445,0.583344,-16.522415,0.000000,-0.781668,0.337059
Phase_2,Install Piled Wall [Phase_2],0.000000,16.700000,1,0.000017,-0.000518,0.000518,0.000017,-0.000518,0.000518,0.000518,0.000017,0.550445,0.588941,-16.522949,0.000000,-2.405132,1.037106
Phase_2,Install Piled Wall [Phase_2],0.000000,16.575000,1,0.000019,-0.000518,0.000518,0.000019,-0.000518,0.000518,0.000518,0.000019,0.630976,0.694362,-17.961131,0.000000,-2.228196,0.717597
Phase_2,Install Piled Wall [Phase_2],0.000000,16.450000,1,0.000021,-0.000517,0.000518,0.000021,-0.000517,0.000518,0.000517,0.000021,0.722701,0.767867,-19.380554,0.000000,-2.068287,0.449687
Phase_2,Install Piled Wall [Phase_2],0.000000,16.325000,1,0.000023,-0.000517,0.000517,0.000023,-0.000517,0.000517,0.000517,0.000023,0.821706,0.810605,-20.780404,0.000000,-1.915010,0.225273
Phase_2,Install Piled Wall [Phase_2],0.000000,16.200000,1,0.000025,-0.000517,0.000517,0.000025,-0.000517,0.000517,0.000517,0.000025,0.924124,0.823724,-22.159870,0.000000,-1.764323,0.033557
Phase_2,Install Piled Wall [Phase_2],0.000000,16.200000,1,0.000025,-0.000517,0.000517,0.000025,-0.000517,0.000517,0.000517,0.000025,0.924124,0.826390,-22.160752,0.000000,-1.764323,0.033557
Phase_2,Install Piled Wall [Phase_2],0.000000,16.090625,1,0.000026,-0.000516,0.000517,0.000026,-0.000516,0.000517,0.000516,0.000026,1.014311,0.820837,-23.352640,0.000000,-1.634639,-0.110967
