Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.533331,8,7,-0.036959,-0.038505,0.053372,-0.002102,-0.004561,0.005022,-0.038505,-0.036959,-11.883613,-11.883613,4.330560,0.826822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.587498,8,7,-0.036657,-0.038827,0.053397,-0.002194,-0.004634,0.005127,-0.038827,-0.036657,-9.120877,-9.120877,3.706774,0.918536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.641665,8,7,-0.036362,-0.039157,0.053437,-0.002221,-0.004647,0.005150,-0.039157,-0.036362,-8.280150,-8.280150,3.315721,0.903536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.695833,8,7,-0.035281,-0.040308,0.053568,-0.002263,-0.004656,0.005177,-0.040308,-0.035281,-9.657100,-9.657100,3.942019,0.923442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.750000,8,7,-0.029010,-0.045698,0.054128,-0.002391,-0.004664,0.005241,-0.045698,-0.029010,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.100000,8,8,-0.040380,-0.032000,0.051523,-0.002491,-0.001679,0.003004,-0.032000,-0.040380,-3.965950,-3.965950,-0.150365,0.083881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.208333,8,8,-0.038466,-0.034919,0.051951,-0.002138,-0.002663,0.003415,-0.034919,-0.038466,-8.660605,-8.660605,3.835256,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.316665,8,8,-0.037803,-0.036683,0.052676,-0.002144,-0.003419,0.004036,-0.036683,-0.037803,-10.342340,-10.342340,4.566984,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.424998,8,8,-0.037340,-0.037843,0.053164,-0.002088,-0.004200,0.004690,-0.037843,-0.037340,-11.746206,-11.746206,5.177810,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.533331,8,8,-0.036959,-0.038505,0.053372,-0.002102,-0.004561,0.005022,-0.038505,-0.036959,-11.883613,-11.883613,4.330560,0.826822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.533331,8,9,-0.036632,-0.070561,0.079503,-0.002128,-0.004461,0.004943,0.070561,0.036632,-11.883613,-11.883613,4.330560,0.826822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,105.424998,8,9,-0.036856,-0.070589,0.079631,-0.002106,-0.004452,0.004925,0.070589,0.036856,-11.746206,-11.746206,5.177810,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
