Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_2,Install Piled Wall [Phase_2],0.000000,18.200000,5,1,0.000018,-0.000756,0.000756,0.000018,-0.000756,0.000756,0.000756,0.000018,0.000000,-0.000254,-0.327646,0.000000,0.000000,0.000000
Phase_2,Install Piled Wall [Phase_2],0.000000,18.075000,5,1,0.000019,-0.000756,0.000756,0.000019,-0.000756,0.000756,0.000756,0.000019,0.009933,0.159546,-3.603310,0.000000,-2.182950,1.263134
Phase_2,Install Piled Wall [Phase_2],0.000000,17.950000,5,1,0.000020,-0.000756,0.000756,0.000020,-0.000756,0.000756,0.000756,0.000020,0.039822,0.316961,-6.888312,0.000000,-2.307227,1.282864
Phase_2,Install Piled Wall [Phase_2],0.000000,17.825000,5,1,0.000020,-0.000756,0.000756,0.000020,-0.000756,0.000756,0.000756,0.000020,0.088927,0.468024,-10.173714,0.000000,-2.189345,1.161497
Phase_2,Install Piled Wall [Phase_2],0.000000,17.700000,5,1,0.000021,-0.000756,0.000756,0.000021,-0.000756,0.000756,0.000756,0.000021,0.156363,0.608769,-13.450577,0.000000,-2.342955,1.052003
Phase_2,Install Piled Wall [Phase_2],0.000000,17.700000,5,2,0.000021,-0.000756,0.000756,0.000021,-0.000756,0.000756,0.000756,0.000021,0.156363,0.605523,-13.458418,0.000000,-2.342955,1.052003
Phase_2,Install Piled Wall [Phase_2],0.000000,17.575000,5,2,0.000022,-0.000756,0.000756,0.000022,-0.000756,0.000756,0.000756,0.000022,0.240087,0.730254,-16.756707,0.000000,-2.318530,0.894871
Phase_2,Install Piled Wall [Phase_2],0.000000,17.450000,5,2,0.000023,-0.000755,0.000756,0.000023,-0.000755,0.000756,0.000755,0.000023,0.337871,0.829437,-20.051141,0.000000,-2.287686,0.696002
Phase_2,Install Piled Wall [Phase_2],0.000000,17.325000,5,2,0.000024,-0.000755,0.000756,0.000024,-0.000755,0.000756,0.000755,0.000024,0.446404,0.902426,-23.337596,0.000000,-2.190842,0.475726
Phase_2,Install Piled Wall [Phase_2],0.000000,17.200000,5,2,0.000025,-0.000755,0.000756,0.000025,-0.000755,0.000756,0.000755,0.000025,0.562352,0.948576,-26.611946,0.000000,-1.999424,0.274543
Phase_2,Install Piled Wall [Phase_2],0.000000,17.200000,5,3,0.000025,-0.000755,0.000756,0.000025,-0.000755,0.000756,0.000755,0.000025,0.562352,0.954434,-26.607775,0.000000,-1.999424,0.274543
Phase_2,Install Piled Wall [Phase_2],0.000000,17.075000,5,3,0.000026,-0.000755,0.000755,0.000026,-0.000755,0.000755,0.000755,0.000026,0.682813,0.973478,-29.851815,0.000000,-1.792531,0.171286
Phase_2,Install Piled Wall [Phase_2],0.000000,16.950000,5,3,0.000026,-0.000755,0.000755,0.000026,-0.000755,0.000755,0.000755,0.000026,0.805850,0.996103,-33.068543,0.000000,-1.561758,0.168785
Phase_2,Install Piled Wall [Phase_2],0.000000,16.825000,5,3,0.000027,-0.000755,0.000755,0.000027,-0.000755,0.000755,0.000755,0.000027,0.932170,1.025302,-36.255138,0.000000,-1.310341,0.276502
Phase_2,Install Piled Wall [Phase_2],0.000000,16.700000,5,3,0.000028,-0.000754,0.000755,0.000028,-0.000754,0.000755,0.000754,0.000028,1.062595,1.064072,-39.408777,0.000000,-1.021033,0.504365
Phase_2,Install Piled Wall [Phase_2],0.000000,16.700000,5,4,0.000028,-0.000754,0.000755,0.000028,-0.000754,0.000755,0.000754,0.000028,1.062595,1.074442,-39.409768,0.000000,-2.412226,1.191969
Phase_2,Install Piled Wall [Phase_2],0.000000,16.575000,5,4,0.000029,-0.000754,0.000755,0.000029,-0.000754,0.000755,0.000754,0.000029,1.204494,1.189342,-42.700537,0.000000,-2.189350,0.757077
Phase_2,Install Piled Wall [Phase_2],0.000000,16.450000,5,4,0.000030,-0.000754,0.000754,0.000030,-0.000754,0.000754,0.000754,0.000030,1.358204,1.263032,-45.969464,0.000000,-1.994900,0.409328
Phase_2,Install Piled Wall [Phase_2],0.000000,16.325000,5,4,0.000030,-0.000753,0.000754,0.000030,-0.000753,0.000754,0.000753,0.000030,1.518679,1.297199,-49.214383,0.000000,-1.805171,0.124628
Phase_2,Install Piled Wall [Phase_2],0.000000,16.200000,5,4,0.000031,-0.000753,0.000754,0.000031,-0.000753,0.000754,0.000753,0.000031,1.680938,1.293528,-52.433126,0.000000,-1.614415,-0.118137
Phase_2,Install Piled Wall [Phase_2],0.000000,16.200000,5,5,0.000031,-0.000753,0.000754,0.000031,-0.000753,0.000754,0.000753,0.000031,1.680938,1.297450,-52.434769,0.000000,-1.614435,-0.118137
