Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_11,Install base slab to +12 [Phase_11],0.000000,11.650000,1,1,0.007630,0.000171,0.007632,0.000008,-0.000327,0.000327,0.007630,0.000171,-0.000000,-8.434094,-2.840078,-0.568016
Phase_11,Install base slab to +12 [Phase_11],0.107143,11.650000,1,1,0.007539,0.000296,0.007545,0.000008,-0.000337,0.000337,0.007539,0.000296,-0.943917,-9.104717,-3.192566,-0.638513
Phase_11,Install base slab to +12 [Phase_11],0.214286,11.650000,1,1,0.007449,0.000416,0.007461,0.000008,-0.000347,0.000347,0.007449,0.000416,-1.933895,-9.302220,-3.604039,-0.720808
Phase_11,Install base slab to +12 [Phase_11],0.321429,11.650000,1,1,0.007359,0.000529,0.007378,0.000008,-0.000357,0.000357,0.007359,0.000529,-2.922144,-9.063634,-4.050124,-0.810025
Phase_11,Install base slab to +12 [Phase_11],0.428571,11.650000,1,1,0.007270,0.000634,0.007297,0.000008,-0.000367,0.000367,0.007270,0.000634,-3.862085,-8.425988,-4.506447,-0.901289
Phase_11,Install base slab to +12 [Phase_11],0.428571,11.650000,1,2,0.007270,0.000634,0.007297,0.000008,-0.000367,0.000367,0.007270,0.000634,-3.862085,-8.519767,-4.495342,-0.899068
Phase_11,Install base slab to +12 [Phase_11],0.535714,11.650000,1,2,0.007180,0.000731,0.007218,0.000008,-0.000376,0.000376,0.007180,0.000731,-4.743285,-7.925706,-4.912427,-0.982485
Phase_11,Install base slab to +12 [Phase_11],0.642857,11.650000,1,2,0.007092,0.000819,0.007139,0.000008,-0.000386,0.000386,0.007092,0.000819,-5.559156,-7.297608,-5.312594,-1.062519
Phase_11,Install base slab to +12 [Phase_11],0.750000,11.650000,1,2,0.007003,0.000898,0.007061,0.000008,-0.000395,0.000395,0.007003,0.000898,-6.306529,-6.644578,-5.695534,-1.139107
Phase_11,Install base slab to +12 [Phase_11],0.857143,11.650000,1,2,0.006916,0.000968,0.006983,0.000008,-0.000405,0.000405,0.006916,0.000968,-6.982509,-5.975715,-6.060934,-1.212187
Phase_11,Install base slab to +12 [Phase_11],0.857143,11.650000,1,3,0.006916,0.000968,0.006983,0.000008,-0.000405,0.000405,0.006916,0.000968,-6.982509,-5.983963,-6.061555,-1.212311
Phase_11,Install base slab to +12 [Phase_11],0.964286,11.650000,1,3,0.006828,0.001030,0.006906,0.000008,-0.000414,0.000414,0.006828,0.001030,-7.588375,-5.331565,-6.410310,-1.282062
Phase_11,Install base slab to +12 [Phase_11],1.071429,11.650000,1,3,0.006741,0.001085,0.006828,0.000008,-0.000423,0.000423,0.006741,0.001085,-8.125805,-4.703126,-6.743863,-1.348773
Phase_11,Install base slab to +12 [Phase_11],1.178571,11.650000,1,3,0.006655,0.001132,0.006751,0.000008,-0.000432,0.000432,0.006655,0.001132,-8.597360,-4.101022,-7.062168,-1.412434
Phase_11,Install base slab to +12 [Phase_11],1.285714,11.650000,1,3,0.006569,0.001173,0.006673,0.000008,-0.000440,0.000440,0.006569,0.001173,-9.005658,-3.527628,-7.365182,-1.473036
Phase_11,Install base slab to +12 [Phase_11],1.285714,11.650000,1,4,0.006569,0.001173,0.006673,0.000008,-0.000440,0.000440,0.006569,0.001173,-9.005658,-3.528251,-7.365776,-1.473155
Phase_11,Install base slab to +12 [Phase_11],1.392857,11.650000,1,4,0.006484,0.001207,0.006596,0.000008,-0.000449,0.000449,0.006484,0.001207,-9.354427,-2.988698,-7.655151,-1.531030
Phase_11,Install base slab to +12 [Phase_11],1.500000,11.650000,1,4,0.006399,0.001236,0.006518,0.000008,-0.000457,0.000457,0.006399,0.001236,-9.647199,-2.480667,-7.931594,-1.586319
Phase_11,Install base slab to +12 [Phase_11],1.607143,11.650000,1,4,0.006315,0.001260,0.006440,0.000008,-0.000465,0.000465,0.006315,0.001260,-9.887254,-2.004361,-8.194983,-1.638997
Phase_11,Install base slab to +12 [Phase_11],1.714286,11.650000,1,4,0.006232,0.001280,0.006362,0.000008,-0.000473,0.000473,0.006232,0.001280,-10.077864,-1.559982,-8.445198,-1.689040
Phase_11,Install base slab to +12 [Phase_11],1.714286,11.650000,1,5,0.006232,0.001280,0.006362,0.000008,-0.000473,0.000473,0.006232,0.001280,-10.077864,-1.559562,-8.445604,-1.689121
Phase_11,Install base slab to +12 [Phase_11],1.821429,11.650000,1,5,0.006149,0.001296,0.006284,0.000008,-0.000481,0.000481,0.006149,0.001296,-10.222552,-1.146989,-8.683309,-1.736662
Phase_11,Install base slab to +12 [Phase_11],1.928571,11.650000,1,5,0.006066,0.001308,0.006206,0.000007,-0.000488,0.000488,0.006066,0.001308,-10.324740,-0.765396,-8.909449,-1.781890
Phase_11,Install base slab to +12 [Phase_11],2.035714,11.650000,1,5,0.005984,0.001318,0.006128,0.000007,-0.000495,0.000495,0.005984,0.001318,-10.387708,-0.414731,-9.123963,-1.824793
Phase_11,Install base slab to +12 [Phase_11],2.142857,11.650000,1,5,0.005903,0.001325,0.006050,0.000007,-0.000502,0.000503,0.005903,0.001325,-10.414726,-0.094943,-9.326788,-1.865358
Phase_11,Install base slab to +12 [Phase_11],2.142857,11.650000,1,6,0.005903,0.001325,0.006050,0.000007,-0.000502,0.000503,0.005903,0.001325,-10.414726,-0.093997,-9.327186,-1.865437
Phase_11,Install base slab to +12 [Phase_11],2.250000,11.650000,1,6,0.005822,0.001329,0.005972,0.000007,-0.000509,0.000509,0.005822,0.001329,-10.408973,0.197055,-9.519211,-1.903842
Phase_11,Install base slab to +12 [Phase_11],2.357143,11.650000,1,6,0.005742,0.001332,0.005894,0.000007,-0.000516,0.000516,0.005742,0.001332,-10.373428,0.461903,-9.701095,-1.940219
Phase_11,Install base slab to +12 [Phase_11],2.464286,11.650000,1,6,0.005662,0.001334,0.005817,0.000007,-0.000522,0.000522,0.005662,0.001334,-10.310893,0.700913,-9.872781,-1.974556
Phase_11,Install base slab to +12 [Phase_11],2.571429,11.650000,1,6,0.005583,0.001334,0.005740,0.000007,-0.000529,0.000529,0.005583,0.001334,-10.224149,0.914456,-10.034215,-2.006843
Phase_11,Install base slab to +12 [Phase_11],2.571429,11.650000,1,7,0.005583,0.001334,0.005740,0.000007,-0.000529,0.000529,0.005583,0.001334,-10.224149,0.915425,-10.034535,-2.006907
Phase_11,Install base slab to +12 [Phase_11],2.678571,11.650000,1,7,0.005504,0.001333,0.005663,0.000007,-0.000535,0.000535,0.005504,0.001333,-10.115694,1.106080,-10.186388,-2.037278
Phase_11,Install base slab to +12 [Phase_11],2.785714,11.650000,1,7,0.005426,0.001332,0.005587,0.000007,-0.000541,0.000541,0.005426,0.001332,-9.987863,1.276142,-10.329253,-2.065851
Phase_11,Install base slab to +12 [Phase_11],2.892857,11.650000,1,7,0.005348,0.001330,0.005511,0.000007,-0.000546,0.000546,0.005348,0.001330,-9.842891,1.426031,-10.463094,-2.092619
Phase_11,Install base slab to +12 [Phase_11],3.000000,11.650000,1,7,0.005271,0.001328,0.005436,0.000007,-0.000552,0.000552,0.005271,0.001328,-9.682994,1.556162,-10.587877,-2.117575
