Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_36,Existing Safety [Phase_36],4.250000,99.190924,4,60,-24.693582,-18.942375,31.122123,-24.646315,-18.840039,31.022378,18.942375,24.693582,-45.301087,-48.391845,10.980857,0.996117,0.000000,-3.090758,-3.090758,-3.090758,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,98.794534,4,60,-25.010003,-18.890422,31.342436,-24.959880,-18.792884,31.243689,18.890422,25.010003,-57.896552,-64.951217,14.032518,0.996117,0.000000,-7.054665,-7.054665,-7.054665,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,98.398143,4,60,-25.324138,-18.732344,31.499407,-25.270812,-18.640425,31.401901,18.732344,25.324138,-27.816604,-38.835176,6.744672,0.996117,0.000000,-11.018572,-11.018572,-11.018572,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,98.001752,4,60,-25.642452,-18.605779,31.681388,-25.585105,-18.520245,31.584760,18.605779,25.642452,-47.088952,-62.071430,11.414025,0.996117,0.000000,-14.982478,-14.982478,-14.982478,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,97.605361,4,60,-25.951433,-18.582074,31.918182,-25.898647,-18.497499,31.826048,18.582074,25.951433,-69.619831,-100.566216,16.872863,0.996117,0.000000,-30.946385,-30.946385,-30.946385,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,100.940309,4,61,-23.300847,-19.419204,30.332078,-23.265670,-19.295713,30.226081,19.419204,23.300847,-40.780464,-40.780464,9.885589,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,100.502963,4,61,-23.649123,-19.331096,30.544595,-23.610993,-19.212121,30.439852,19.331096,23.649123,-44.777522,-44.777522,10.854006,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,100.065617,4,61,-23.997032,-19.232372,30.752913,-23.955986,-19.118357,30.649646,19.232372,23.997032,-42.816017,-42.816017,10.378768,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,99.628270,4,61,-24.345478,-19.103293,30.945729,-24.301345,-18.994813,30.844097,19.103293,24.345478,-47.579540,-47.579540,11.532886,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,99.190924,4,61,-24.693582,-18.942375,31.122123,-24.646315,-18.840039,31.022378,18.942375,24.693582,-45.301087,-48.391845,10.980857,0.996117,0.000000,-3.090758,-3.090758,-3.090758,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,102.870443,4,62,-21.764682,-20.242424,29.723006,-21.741871,-20.098819,29.608638,20.242424,21.764682,-26.355835,-26.355835,6.390754,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,102.387909,4,62,-22.148359,-20.020808,29.856031,-22.122591,-19.882330,29.744178,20.020808,22.148359,-26.607117,-26.607117,6.451635,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,101.905376,4,62,-22.532630,-19.818811,30.008411,-22.503840,-19.685429,29.898811,19.818811,22.532630,-33.990908,-33.990908,8.240598,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,101.422843,4,62,-22.916660,-19.618759,30.167350,-22.884688,-19.490370,30.059665,19.618759,22.916660,-36.295981,-36.295981,8.799077,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,100.940309,4,62,-23.300847,-19.419204,30.332078,-23.265670,-19.295713,30.226081,19.419204,23.300847,-40.780464,-40.780464,9.885589,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,105.000000,4,63,-20.066258,-18.541575,27.321140,-20.060342,-18.453190,27.256881,18.541575,20.066258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,104.467611,4,63,-20.494105,-19.853584,28.533719,-20.480636,-19.723787,28.433857,19.853584,20.494105,-14.679383,-14.679383,3.561753,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_36,Existing Safety [Phase_36],4.250000,103.935221,4,63,-20.917585,-20.379896,29.204204,-20.901039,-20.232614,29.089726,20.379896,20.917585,-21.755075,-21.755075,5.276070,0.996117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
