Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_19,Ramped Internal Load [Phase_19],-13.135000,105.100000,6,3,-0.040763,-0.037515,0.055398,-0.002474,-0.016132,0.016321,0.040763,0.037515,630.545913,-75.174552,-270.426746,-54.085349
Phase_19,Ramped Internal Load [Phase_19],-13.402000,105.100000,6,3,-0.040777,-0.036970,0.055041,-0.002468,-0.016658,0.016840,0.040777,0.036970,608.975110,-86.558416,-270.723409,-54.144682
Phase_19,Ramped Internal Load [Phase_19],-13.669000,105.100000,6,3,-0.040791,-0.036071,0.054452,-0.002462,-0.017036,0.017213,0.040791,0.036071,584.280693,-98.371270,-271.240748,-54.248150
Phase_19,Ramped Internal Load [Phase_19],-13.936000,105.100000,6,3,-0.040806,-0.034850,0.053662,-0.002456,-0.017277,0.017451,0.040806,0.034850,556.416421,-110.367256,-271.937837,-54.387567
Phase_19,Ramped Internal Load [Phase_19],-14.203000,105.100000,6,3,-0.040820,-0.033343,0.052707,-0.002451,-0.017396,0.017567,0.040820,0.033343,525.355024,-122.300515,-272.773751,-54.554750
Phase_19,Ramped Internal Load [Phase_19],-14.203000,105.100000,6,4,-0.040820,-0.033343,0.052707,-0.002451,-0.017396,0.017567,0.040820,0.033343,525.355024,-122.329116,-272.746064,-54.549213
Phase_19,Ramped Internal Load [Phase_19],-14.470000,105.100000,6,4,-0.040834,-0.031585,0.051624,-0.002445,-0.017403,0.017573,0.040834,0.031585,491.109351,-134.254998,-273.591893,-54.718379
Phase_19,Ramped Internal Load [Phase_19],-14.737000,105.100000,6,4,-0.040848,-0.029613,0.050453,-0.002439,-0.017310,0.017481,0.040848,0.029613,453.661970,-146.177993,-274.474044,-54.894809
Phase_19,Ramped Internal Load [Phase_19],-15.004000,105.100000,6,4,-0.040863,-0.027463,0.049234,-0.002433,-0.017131,0.017303,0.040863,0.027463,413.032719,-158.095860,-275.391571,-55.078314
Phase_19,Ramped Internal Load [Phase_19],-15.271000,105.100000,6,4,-0.040877,-0.025173,0.048006,-0.002427,-0.016877,0.017051,0.040877,0.025173,369.240578,-170.006364,-276.343531,-55.268706
Phase_19,Ramped Internal Load [Phase_19],-15.271000,105.100000,6,5,-0.040877,-0.025173,0.048006,-0.002427,-0.016877,0.017051,0.040877,0.025173,369.240578,-170.012190,-276.341246,-55.268249
Phase_19,Ramped Internal Load [Phase_19],-15.538000,105.100000,6,5,-0.040891,-0.022780,0.046808,-0.002421,-0.016561,0.016737,0.040891,0.022780,322.268316,-181.927898,-277.327890,-55.465578
Phase_19,Ramped Internal Load [Phase_19],-15.805000,105.100000,6,5,-0.040905,-0.020324,0.045676,-0.002415,-0.016194,0.016373,0.040905,0.020324,272.088415,-193.860294,-278.337949,-55.667590
