Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_11,Install base slab to +12 [Phase_11],0.428571,11.650000,3,1,0.005718,0.001024,0.005809,0.000021,-0.000363,0.000364,-0.005718,0.001024,-12.290843,-12.290843,-3.981291,0.106623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.321429,11.650000,3,1,0.006002,0.000953,0.006077,0.000022,-0.000353,0.000353,-0.006002,0.000953,-13.476259,-13.476259,-4.168960,0.110552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.214286,11.650000,3,1,0.006301,0.000867,0.006360,0.000022,-0.000342,0.000343,-0.006301,0.000867,-16.757175,-16.757175,-4.359437,0.112544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.107143,11.650000,3,1,0.006756,0.000638,0.006786,0.000020,-0.000331,0.000331,-0.006756,0.000638,-21.617485,-21.617485,-3.522805,0.087515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.000000,11.650000,3,1,0.007630,0.000171,0.007632,0.000008,-0.000327,0.000327,-0.007630,0.000171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.857143,11.650000,3,2,0.004908,0.001154,0.005041,0.000019,-0.000401,0.000402,-0.004908,0.001154,-11.361013,-11.361013,-3.336683,0.090060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.750000,11.650000,3,2,0.005075,0.001130,0.005199,0.000019,-0.000392,0.000392,-0.005075,0.001130,-11.345795,-11.345795,-3.492617,0.094281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.642857,11.650000,3,2,0.005264,0.001099,0.005377,0.000020,-0.000382,0.000383,-0.005264,0.001099,-11.393979,-11.393979,-3.654178,0.098602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.535714,11.650000,3,2,0.005479,0.001065,0.005582,0.000020,-0.000373,0.000373,-0.005479,0.001065,-11.811272,-11.811272,-3.814242,0.102561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.428571,11.650000,3,2,0.005718,0.001024,0.005809,0.000021,-0.000363,0.000364,-0.005718,0.001024,-12.290843,-12.290843,-3.981291,0.106623,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],1.285714,11.650000,3,3,0.004362,0.001223,0.004531,0.000017,-0.000437,0.000437,-0.004362,0.001223,-12.308168,-12.308168,-2.767926,0.074117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],1.178571,11.650000,3,3,0.004482,0.001209,0.004642,0.000017,-0.000428,0.000428,-0.004482,0.001209,-12.017122,-12.017122,-2.900175,0.077848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],1.071429,11.650000,3,3,0.004613,0.001190,0.004764,0.000018,-0.000419,0.000420,-0.004613,0.001190,-11.729887,-11.729887,-3.038524,0.081758,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.964286,11.650000,3,3,0.004755,0.001175,0.004898,0.000018,-0.000410,0.000411,-0.004755,0.001175,-11.525489,-11.525489,-3.184821,0.085842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],0.857143,11.650000,3,3,0.004908,0.001154,0.005041,0.000019,-0.000401,0.000402,-0.004908,0.001154,-11.361013,-11.361013,-3.336683,0.090060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],1.714286,11.650000,3,4,0.003974,0.001273,0.004173,0.000015,-0.000469,0.000469,-0.003974,0.001273,-13.496782,-13.496782,-2.279342,0.060433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_11,Install base slab to +12 [Phase_11],1.607143,11.650000,3,4,0.004060,0.001264,0.004252,0.000015,-0.000461,0.000461,-0.004060,0.001264,-13.202687,-13.202687,-2.397235,0.063714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
