Phase,PhaseIdent,X(m),Y(m),MaterialId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_12,Install NRW Piles [Phase_12],-19.000000,96.000000,1,-0.015163,0.016694,0.022552,0.000008,-0.000491,0.000491,-0.016694,-0.015163,0.000000,0.067556,2.325057,0.000000,0.000000,0.000000
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.850000,1,-0.015231,0.016695,0.022599,0.000008,-0.000491,0.000491,-0.016695,-0.015231,0.010209,0.068526,1.564025,0.000000,0.000000,0.005126
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.700000,1,-0.015332,0.016714,0.022681,0.000008,-0.000491,0.000491,-0.016714,-0.015332,0.020537,0.069079,0.802511,0.000000,0.000000,0.002027
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.550000,1,-0.015474,0.016758,0.022809,0.000008,-0.000491,0.000491,-0.016758,-0.015474,0.030919,0.069254,0.041031,0.000000,0.000000,0.000080
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.400000,1,-0.015766,0.016843,0.023070,0.000008,-0.000491,0.000491,-0.016843,-0.015766,0.041296,0.069089,-0.719896,0.000000,0.000000,-0.000150
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.400000,1,-0.015766,0.016843,0.023070,0.000008,-0.000491,0.000491,-0.016843,-0.015766,0.041296,0.069211,-0.720373,0.000000,0.000000,-0.000561
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.318623,1,-0.015931,0.016898,0.023224,0.000008,-0.000491,0.000491,-0.016898,-0.015931,0.046922,0.069068,-1.133200,0.000000,0.000000,-0.002027
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.237246,1,-0.016049,0.016961,0.023351,0.000008,-0.000491,0.000491,-0.016961,-0.016049,0.052536,0.068881,-1.546317,0.000000,0.000000,-0.002563
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.155869,1,-0.016163,0.017032,0.023481,0.000009,-0.000491,0.000491,-0.017032,-0.016163,0.058134,0.068652,-1.959435,0.000000,0.000000,-0.003077
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.074492,1,-0.016271,0.017112,0.023613,0.000009,-0.000491,0.000491,-0.017112,-0.016271,0.063708,0.068380,-2.372262,0.000000,0.000000,-0.003746
Phase_12,Install NRW Piles [Phase_12],-19.000000,95.074492,1,-0.016271,0.017112,0.023613,0.000009,-0.000491,0.000491,-0.017112,-0.016271,0.063708,0.068374,-2.372470,0.000000,0.000000,-0.003746
Phase_12,Install NRW Piles [Phase_12],-19.000000,94.987367,1,-0.016177,0.017192,0.023606,0.000009,-0.000491,0.000491,-0.017192,-0.016177,0.069649,0.068021,-2.814458,0.000000,0.000000,-0.004426
