Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUtot(m),U1(m),U2(m),N(kN)
Phase_20,Backfill to 105.75 mATD [Phase_20],-10.000000,105.100000,5,1,-0.037555,-0.029624,0.047832,-0.000795,-0.000457,0.000917,-0.037555,-0.029624,117.615763
Phase_20,Backfill to 105.75 mATD [Phase_20],-10.000000,100.050000,4,2,-0.024224,-0.029739,0.038357,-0.002005,-0.000430,0.002050,-0.024224,-0.029739,-261.254923
Phase_35,Apply Surcharge [Phase_35],-10.000000,105.100000,5,1,-0.037889,-0.029796,0.048201,-0.000334,-0.000172,0.000376,-0.037889,-0.029796,167.104891
Phase_35,Apply Surcharge [Phase_35],-10.000000,100.050000,4,2,-0.024834,-0.029891,0.038861,-0.000609,-0.000152,0.000628,-0.024834,-0.029891,-382.141934
Phase_22,Remove Construction Surcharge [Phase_22],-10.000000,105.100000,5,1,-0.037886,-0.029814,0.048210,0.000003,-0.000018,0.000018,-0.037886,-0.029814,166.614761
Phase_22,Remove Construction Surcharge [Phase_22],-10.000000,100.050000,4,2,-0.024959,-0.029909,0.038955,-0.000125,-0.000018,0.000127,-0.024959,-0.029909,-381.307143
Phase_23,Remove Fill in Cofferdam 1 [Phase_23],-10.000000,105.100000,5,1,-0.037885,-0.029871,0.048244,0.000001,-0.000057,0.000057,-0.037885,-0.029871,166.479892
Phase_23,Remove Fill in Cofferdam 1 [Phase_23],-10.000000,100.050000,4,2,-0.025343,-0.029965,0.039245,-0.000384,-0.000057,0.000388,-0.025343,-0.029965,-380.696319
Phase_24,Remove Fill in Cofferdam 2 [Phase_24],-10.000000,105.100000,5,1,-0.037952,-0.029985,0.048367,-0.000067,-0.000114,0.000132,-0.037952,-0.029985,176.408294
Phase_24,Remove Fill in Cofferdam 2 [Phase_24],-10.000000,100.050000,4,2,-0.026072,-0.030078,0.039805,-0.000729,-0.000113,0.000738,-0.026072,-0.030078,-389.892898
Phase_25,Remove Fill in Cofferdam 3 [Phase_25],-10.000000,105.100000,5,1,-0.038411,-0.030336,0.048945,-0.000459,-0.000352,0.000578,-0.038411,-0.030336,244.326314
Phase_25,Remove Fill in Cofferdam 3 [Phase_25],-10.000000,100.050000,4,2,-0.028171,-0.030420,0.041461,-0.002099,-0.000342,0.002127,-0.028171,-0.030420,-451.217036
