Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUtot(m),U1(m),U2(m),N(kN)
Phase_3,Fill Cofferdam 1 [Phase_3],-23.375000,98.300000,1,3,-0.003060,-0.016400,0.016683,0.000084,-0.002054,0.002055,0.003060,0.016400,50.000000
Phase_3,Fill Cofferdam 1 [Phase_3],-34.660000,98.300000,1,3,-0.007076,-0.038186,0.038837,-0.005567,-0.011392,0.012680,0.007076,0.038186,50.000000
Phase_4,Fill Cofferdam 2 [Phase_4],-23.375000,102.000000,2,1,-0.009403,-0.020625,0.022667,-0.004912,-0.004209,0.006469,0.009403,0.020625,50.000000
Phase_4,Fill Cofferdam 2 [Phase_4],-34.660000,102.000000,2,1,-0.013529,-0.050291,0.052079,-0.004930,-0.012089,0.013055,0.013529,0.050291,50.000000
Phase_4,Fill Cofferdam 2 [Phase_4],-23.375000,98.300000,1,3,-0.005799,-0.020609,0.021409,-0.002739,-0.004209,0.005022,0.005799,0.020609,229.093312
Phase_4,Fill Cofferdam 2 [Phase_4],-34.660000,98.300000,1,3,-0.012102,-0.050275,0.051711,-0.005026,-0.012089,0.013092,0.012102,0.050275,229.093312
Phase_5,Fill Cofferdam 3 and Apply Construction Surcharge [Phase_5],-23.375000,102.000000,2,1,-0.029493,-0.037657,0.047832,-0.020090,-0.017032,0.026338,0.029493,0.037657,150.147340
Phase_5,Fill Cofferdam 3 and Apply Construction Surcharge [Phase_5],-34.660000,102.000000,2,1,-0.035913,-0.090557,0.097419,-0.022384,-0.040266,0.046070,0.035913,0.090557,150.147340
Phase_5,Fill Cofferdam 3 and Apply Construction Surcharge [Phase_5],-23.375000,98.300000,1,3,-0.019053,-0.037638,0.042186,-0.013255,-0.017030,0.021580,0.019053,0.037638,891.018771
Phase_5,Fill Cofferdam 3 and Apply Construction Surcharge [Phase_5],-34.660000,98.300000,1,3,-0.033811,-0.090538,0.096645,-0.021709,-0.040263,0.045742,0.033811,0.090538,891.018771
Phase_9,Internal Dewatering +94.5 [Phase_9],-23.375000,102.000000,2,1,-0.002574,-0.045453,0.045526,0.026920,-0.007796,0.028026,0.002574,0.045453,123.004352
Phase_9,Internal Dewatering +94.5 [Phase_9],-34.660000,102.000000,2,1,-0.008372,-0.095399,0.095765,0.027541,-0.004841,0.027964,0.008372,0.095399,123.004352
Phase_9,Internal Dewatering +94.5 [Phase_9],-23.375000,98.300000,1,3,0.002973,-0.045434,0.045531,0.022026,-0.007796,0.023365,-0.002973,0.045434,906.134281
Phase_9,Internal Dewatering +94.5 [Phase_9],-34.660000,98.300000,1,3,-0.011978,-0.095379,0.096128,0.021833,-0.004841,0.022363,0.011978,0.095379,906.134281
Phase_13,Consolidate (90%) [Phase_13],-23.375000,102.000000,2,1,-0.002994,-0.054296,0.054378,-0.000420,-0.008842,0.008852,0.002994,0.054296,132.282576
Phase_13,Consolidate (90%) [Phase_13],-34.660000,102.000000,2,1,-0.009004,-0.107151,0.107528,-0.000632,-0.011752,0.011769,0.009004,0.107151,132.282576
Phase_13,Consolidate (90%) [Phase_13],-23.375000,98.300000,1,3,0.001993,-0.054277,0.054313,-0.000980,-0.008842,0.008896,-0.001993,0.054277,811.400051
Phase_13,Consolidate (90%) [Phase_13],-34.660000,98.300000,1,3,-0.011748,-0.107132,0.107774,0.000230,-0.011753,0.011755,0.011748,0.107132,811.400051
Phase_11,Excavate All Allivium (Hit and Miss) [Phase_11],-23.375000,102.000000,2,1,-0.002897,-0.054259,0.054336,0.000097,0.000037,0.000104,0.002897,0.054259,132.929263
Phase_11,Excavate All Allivium (Hit and Miss) [Phase_11],-34.660000,102.000000,2,1,-0.008922,-0.107149,0.107520,0.000082,0.000002,0.000082,0.008922,0.107149,132.929263
Phase_11,Excavate All Allivium (Hit and Miss) [Phase_11],-23.375000,98.300000,1,3,0.002090,-0.054240,0.054280,0.000097,0.000037,0.000104,-0.002090,0.054240,818.025566
Phase_11,Excavate All Allivium (Hit and Miss) [Phase_11],-34.660000,98.300000,1,3,-0.011735,-0.107130,0.107771,0.000013,0.000002,0.000013,0.011735,0.107130,818.025566
Phase_14,Install Piling Platform +96.5 [Phase_14],-23.375000,102.000000,2,1,-0.004169,-0.055191,0.055348,-0.001272,-0.000932,0.001577,0.004169,0.055191,134.228422
Phase_14,Install Piling Platform +96.5 [Phase_14],-34.660000,102.000000,2,1,-0.010224,-0.107382,0.107868,-0.001302,-0.000233,0.001323,0.010224,0.107382,134.228422
Phase_14,Install Piling Platform +96.5 [Phase_14],-23.375000,98.300000,1,3,0.000870,-0.055172,0.055179,-0.001220,-0.000933,0.001535,-0.000870,0.055172,809.367308
Phase_14,Install Piling Platform +96.5 [Phase_14],-34.660000,98.300000,1,3,-0.012844,-0.107363,0.108128,-0.001109,-0.000233,0.001133,0.012844,0.107363,809.367308
Phase_12,Install NRW Piles [Phase_12],-23.375000,102.000000,2,1,-0.004048,-0.055443,0.055590,0.000121,-0.000252,0.000279,0.004048,0.055443,134.308374
Phase_12,Install NRW Piles [Phase_12],-34.660000,102.000000,2,1,-0.010105,-0.107467,0.107942,0.000119,-0.000086,0.000146,0.010105,0.107467,134.308374
Phase_12,Install NRW Piles [Phase_12],-23.375000,98.300000,1,3,0.000960,-0.055424,0.055432,0.000090,-0.000252,0.000267,-0.000960,0.055424,809.071906
Phase_12,Install NRW Piles [Phase_12],-34.660000,98.300000,1,3,-0.012751,-0.107448,0.108202,0.000094,-0.000086,0.000127,0.012751,0.107448,809.071906
Phase_41,Construct silo slab [Phase_41],-23.375000,102.000000,2,1,-0.004123,-0.055448,0.055601,-0.000075,-0.000006,0.000075,0.004123,0.055448,134.409085
Phase_41,Construct silo slab [Phase_41],-34.660000,102.000000,2,1,-0.010182,-0.107461,0.107943,-0.000077,0.000006,0.000077,0.010182,0.107461,134.409085
Phase_41,Construct silo slab [Phase_41],-23.375000,98.300000,1,3,0.000887,-0.055430,0.055437,-0.000073,-0.000006,0.000073,-0.000887,0.055430,808.672717
Phase_41,Construct silo slab [Phase_41],-34.660000,98.300000,1,3,-0.012819,-0.107442,0.108204,-0.000068,0.000006,0.000068,0.012819,0.107442,808.672717
Phase_40,Apply silo lc 2 [Phase_40],-23.375000,102.000000,2,1,-0.004904,-0.055474,0.055691,-0.000781,-0.000026,0.000781,0.004904,0.055474,134.801067
Phase_40,Apply silo lc 2 [Phase_40],-34.660000,102.000000,2,1,-0.010972,-0.107439,0.107997,-0.000790,0.000023,0.000790,0.010972,0.107439,134.801067
Phase_40,Apply silo lc 2 [Phase_40],-23.375000,98.300000,1,3,0.000160,-0.055456,0.055456,-0.000727,-0.000026,0.000728,-0.000160,0.055456,804.287010
Phase_40,Apply silo lc 2 [Phase_40],-34.660000,98.300000,1,3,-0.013490,-0.107420,0.108263,-0.000671,0.000023,0.000672,0.013490,0.107420,804.287010
Phase_44,Consolidate silo lc 2 (90%) [Phase_44],-23.375000,102.000000,2,1,-0.005852,-0.058689,0.058980,-0.000948,-0.003215,0.003352,0.005852,0.058689,135.266592
Phase_44,Consolidate silo lc 2 (90%) [Phase_44],-34.660000,102.000000,2,1,-0.011931,-0.111257,0.111895,-0.000959,-0.003818,0.003937,0.011931,0.111257,135.266592
Phase_44,Consolidate silo lc 2 (90%) [Phase_44],-23.375000,98.300000,1,3,-0.000824,-0.058670,0.058676,-0.000984,-0.003214,0.003361,0.000824,0.058670,767.922284
Phase_44,Consolidate silo lc 2 (90%) [Phase_44],-34.660000,98.300000,1,3,-0.014009,-0.111237,0.112116,-0.000519,-0.003818,0.003853,0.014009,0.111237,767.922284
Phase_15,Excavate and Install NRW [Phase_15],-23.375000,102.000000,2,1,-0.005256,-0.059559,0.059790,0.000596,-0.000869,0.001054,0.005256,0.059559,136.040019
Phase_15,Excavate and Install NRW [Phase_15],-34.660000,102.000000,2,1,-0.011352,-0.111567,0.112143,0.000578,-0.000310,0.000656,0.011352,0.111567,136.040019
Phase_15,Excavate and Install NRW [Phase_15],-23.375000,98.300000,1,3,-0.000373,-0.059540,0.059541,0.000451,-0.000869,0.000979,0.000373,0.059540,767.827840
Phase_15,Excavate and Install NRW [Phase_15],-34.660000,98.300000,1,3,-0.013557,-0.111548,0.112369,0.000452,-0.000310,0.000548,0.013557,0.111548,767.827840
Phase_51,Remove silo lc 2 [Phase_51],-23.375000,102.000000,2,1,-0.004955,-0.059513,0.059718,0.000300,0.000046,0.000304,0.004955,0.059513,135.401365
Phase_51,Remove silo lc 2 [Phase_51],-34.660000,102.000000,2,1,-0.011037,-0.111624,0.112169,0.000315,-0.000057,0.000320,0.011037,0.111624,135.401365
Phase_51,Remove silo lc 2 [Phase_51],-23.375000,98.300000,1,3,-0.000058,-0.059494,0.059494,0.000316,0.000046,0.000319,0.000058,0.059494,769.589614
Phase_51,Remove silo lc 2 [Phase_51],-34.660000,98.300000,1,3,-0.013264,-0.111605,0.112390,0.000293,-0.000057,0.000299,0.013264,0.111605,769.589614
Phase_16,Backfill to 100.05mATD [Phase_16],-23.375000,102.000000,2,1,-0.007971,-0.060151,0.060677,-0.002715,-0.000592,0.002779,0.007971,0.060151,137.732791
Phase_16,Backfill to 100.05mATD [Phase_16],-34.660000,102.000000,2,1,-0.014106,-0.111864,0.112750,-0.002754,-0.000296,0.002770,0.014106,0.111864,137.732791
Phase_16,Backfill to 100.05mATD [Phase_16],-23.375000,98.300000,1,3,-0.002901,-0.060133,0.060203,-0.002528,-0.000593,0.002596,0.002901,0.060133,749.022380
Phase_16,Backfill to 100.05mATD [Phase_16],-34.660000,98.300000,1,3,-0.015845,-0.111844,0.112961,-0.002287,-0.000296,0.002306,0.015845,0.111844,749.022380
Phase_31,Apply Construction Surcharge [Phase_31],-23.375000,102.000000,2,1,-0.008574,-0.060248,0.060855,-0.000604,-0.000097,0.000611,0.008574,0.060248,137.937028
Phase_31,Apply Construction Surcharge [Phase_31],-34.660000,102.000000,2,1,-0.014714,-0.111915,0.112878,-0.000608,-0.000051,0.000610,0.014714,0.111915,137.937028
Phase_31,Apply Construction Surcharge [Phase_31],-23.375000,98.300000,1,3,-0.003456,-0.060230,0.060329,-0.000555,-0.000097,0.000563,0.003456,0.060230,744.858216
Phase_31,Apply Construction Surcharge [Phase_31],-34.660000,98.300000,1,3,-0.016347,-0.111895,0.113083,-0.000502,-0.000051,0.000505,0.016347,0.111895,744.858216
Phase_10,Consolidate (120 days) [Phase_10],-23.375000,102.000000,2,1,-0.007574,-0.062377,0.062835,0.001000,-0.002129,0.002352,0.007574,0.062377,136.401545
Phase_10,Consolidate (120 days) [Phase_10],-34.660000,102.000000,2,1,-0.013679,-0.113788,0.114607,0.001035,-0.001873,0.002140,0.013679,0.113788,136.401545
Phase_10,Consolidate (120 days) [Phase_10],-23.375000,98.300000,1,3,-0.002537,-0.062359,0.062410,0.000919,-0.002129,0.002319,0.002537,0.062359,740.649251
Phase_10,Consolidate (120 days) [Phase_10],-34.660000,98.300000,1,3,-0.015374,-0.113768,0.114802,0.000972,-0.001873,0.002110,0.015374,0.113768,740.649251
Phase_17,Install ATC Base Slab [Phase_17],-23.375000,102.000000,2,1,-0.007667,-0.062465,0.062934,-0.000093,-0.000088,0.000128,0.007667,0.062465,136.563638
Phase_17,Install ATC Base Slab [Phase_17],-34.660000,102.000000,2,1,-0.013776,-0.113818,0.114649,-0.000097,-0.000030,0.000101,0.013776,0.113818,136.563638
Phase_17,Install ATC Base Slab [Phase_17],-18.112500,100.000000,3,2,-0.032432,0.010716,0.034157,0.000065,-0.000253,0.000261,0.010716,-0.032432,-34.965409
Phase_17,Install ATC Base Slab [Phase_17],-18.112500,100.050000,3,2,-0.032252,0.010572,0.033941,0.000068,-0.000253,0.000262,0.010572,-0.032252,-34.965409
Phase_17,Install ATC Base Slab [Phase_17],-23.375000,98.300000,1,3,-0.002633,-0.062447,0.062502,-0.000096,-0.000088,0.000130,0.002633,0.062447,739.741920
Phase_17,Install ATC Base Slab [Phase_17],-34.660000,98.300000,1,3,-0.015458,-0.113798,0.114843,-0.000084,-0.000030,0.000089,0.015458,0.113798,739.741920
Phase_18,Install ATC Walls and Roof Slab [Phase_18],-23.375000,102.000000,2,1,-0.008009,-0.062785,0.063293,-0.000341,-0.000320,0.000468,0.008009,0.062785,137.223001
Phase_18,Install ATC Walls and Roof Slab [Phase_18],-34.660000,102.000000,2,1,-0.014133,-0.113930,0.114803,-0.000357,-0.000111,0.000374,0.014133,0.113930,137.223001
Phase_18,Install ATC Walls and Roof Slab [Phase_18],-18.112500,100.000000,3,2,-0.030779,0.009485,0.032208,0.001653,-0.001231,0.002061,0.009485,-0.030779,-189.797258
Phase_18,Install ATC Walls and Roof Slab [Phase_18],-18.112500,100.050000,3,2,-0.031486,0.009341,0.032842,0.000766,-0.001231,0.001450,0.009341,-0.031486,-189.797258
Phase_18,Install ATC Walls and Roof Slab [Phase_18],-23.375000,98.300000,1,3,-0.002987,-0.062766,0.062837,-0.000354,-0.000320,0.000477,0.002987,0.062766,736.547207
Phase_18,Install ATC Walls and Roof Slab [Phase_18],-34.660000,98.300000,1,3,-0.015771,-0.113910,0.114996,-0.000313,-0.000111,0.000332,0.015771,0.113910,736.547207
Phase_20,Backfill to 105.75 mATD [Phase_20],-23.375000,102.000000,2,1,-0.009359,-0.063012,0.063703,-0.001350,-0.000227,0.001369,0.009359,0.063012,138.660828
Phase_20,Backfill to 105.75 mATD [Phase_20],-34.660000,102.000000,2,1,-0.015516,-0.113963,0.115015,-0.001383,-0.000034,0.001384,0.015516,0.113963,138.660828
Phase_20,Backfill to 105.75 mATD [Phase_20],-18.112500,100.000000,3,2,-0.032387,0.008763,0.033551,-0.001607,-0.000722,0.001762,0.008763,-0.032387,-210.576183
Phase_20,Backfill to 105.75 mATD [Phase_20],-18.112500,100.050000,3,2,-0.033479,0.008619,0.034571,-0.001993,-0.000722,0.002120,0.008619,-0.033479,-210.576183
Phase_20,Backfill to 105.75 mATD [Phase_20],-23.375000,98.300000,1,3,-0.004286,-0.062994,0.063139,-0.001299,-0.000228,0.001319,0.004286,0.062994,728.188850
Phase_20,Backfill to 105.75 mATD [Phase_20],-34.660000,98.300000,1,3,-0.016964,-0.113943,0.115199,-0.001193,-0.000034,0.001193,0.016964,0.113943,728.188850
Phase_35,Apply Surcharge [Phase_35],-23.375000,102.000000,2,1,-0.009695,-0.063237,0.063976,-0.000336,-0.000225,0.000404,0.009695,0.063237,139.119095
Phase_35,Apply Surcharge [Phase_35],-34.660000,102.000000,2,1,-0.015862,-0.114034,0.115131,-0.000346,-0.000070,0.000353,0.015862,0.114034,139.119095
Phase_35,Apply Surcharge [Phase_35],-18.112500,100.000000,3,2,-0.032948,0.008193,0.033951,-0.000561,-0.000570,0.000799,0.008193,-0.032948,-259.096154
Phase_35,Apply Surcharge [Phase_35],-18.112500,100.050000,3,2,-0.034087,0.008049,0.035024,-0.000608,-0.000570,0.000833,0.008049,-0.034087,-259.096154
Phase_35,Apply Surcharge [Phase_35],-23.375000,98.300000,1,3,-0.004620,-0.063219,0.063388,-0.000334,-0.000225,0.000403,0.004620,0.063219,725.391826
Phase_35,Apply Surcharge [Phase_35],-34.660000,98.300000,1,3,-0.017262,-0.114014,0.115313,-0.000299,-0.000070,0.000307,0.017262,0.114014,725.391826
Phase_22,Remove Construction Surcharge [Phase_22],-23.375000,102.000000,2,1,-0.009792,-0.062324,0.063088,-0.000097,0.000913,0.000918,0.009792,0.062324,110.614766
