Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_2,Install Cofferdam [Phase_2],-34.660000,104.500000,7,1,-0.002136,-0.026815,0.026900,-0.002136,-0.026815,0.026900,-0.026815,0.002136,-0.000000,0.000000,-48.597047,-14.579114
Phase_2,Install Cofferdam [Phase_2],-34.660000,104.875000,7,1,-0.002173,-0.026816,0.026904,-0.002173,-0.026816,0.026904,-0.026816,0.002173,-0.000000,0.000000,-36.452808,-10.935842
Phase_2,Install Cofferdam [Phase_2],-34.660000,105.250000,7,1,-0.002211,-0.026816,0.026907,-0.002211,-0.026816,0.026907,-0.026816,0.002211,-0.000000,0.000000,-24.300000,-7.290000
Phase_2,Install Cofferdam [Phase_2],-34.660000,105.625000,7,1,-0.002249,-0.026816,0.026910,-0.002249,-0.026816,0.026910,-0.026816,0.002249,-0.000000,0.000000,-12.147192,-3.644158
Phase_2,Install Cofferdam [Phase_2],-34.660000,106.000000,7,1,-0.002287,-0.026816,0.026914,-0.002287,-0.026816,0.026914,-0.026816,0.002287,-0.000000,-0.000000,-0.002953,-0.000886
Phase_2,Install Cofferdam [Phase_2],-23.375000,104.500000,7,2,-0.004877,-0.014367,0.015172,-0.004877,-0.014367,0.015172,-0.014367,0.004877,-0.000000,0.000000,-48.597047,-14.579114
Phase_2,Install Cofferdam [Phase_2],-23.375000,104.875000,7,2,-0.004982,-0.014367,0.015207,-0.004982,-0.014367,0.015207,-0.014367,0.004982,-0.000000,0.000000,-36.452808,-10.935842
Phase_2,Install Cofferdam [Phase_2],-23.375000,105.250000,7,2,-0.005087,-0.014367,0.015242,-0.005087,-0.014367,0.015242,-0.014367,0.005087,-0.000000,0.000000,-24.300000,-7.290000
Phase_2,Install Cofferdam [Phase_2],-23.375000,105.625000,7,2,-0.005192,-0.014368,0.015277,-0.005192,-0.014368,0.015277,-0.014368,0.005192,-0.000000,0.000000,-12.147192,-3.644158
Phase_2,Install Cofferdam [Phase_2],-23.375000,106.000000,7,2,-0.005297,-0.014368,0.015313,-0.005297,-0.014368,0.015313,-0.014368,0.005297,0.000000,0.000000,-0.002953,-0.000886
Phase_2,Install Cofferdam [Phase_2],-34.660000,102.000000,7,14,-0.001883,-0.026810,0.026876,-0.001883,-0.026810,0.026876,-0.026810,0.001883,-0.000000,0.000000,-129.598723,-38.879617
Phase_2,Install Cofferdam [Phase_2],-34.660000,102.162157,7,14,-0.001899,-0.026811,0.026878,-0.001899,-0.026811,0.026878,-0.026811,0.001899,-0.000000,0.000000,-124.347311,-37.304193
Phase_2,Install Cofferdam [Phase_2],-34.660000,102.324315,7,14,-0.001916,-0.026811,0.026880,-0.001916,-0.026811,0.026880,-0.026811,0.001916,-0.000000,0.000000,-119.092194,-35.727658
Phase_2,Install Cofferdam [Phase_2],-34.660000,102.486472,7,14,-0.001932,-0.026812,0.026881,-0.001932,-0.026812,0.026881,-0.026812,0.001932,-0.000000,0.000000,-113.837077,-34.151123
Phase_2,Install Cofferdam [Phase_2],-34.660000,102.648630,7,14,-0.001948,-0.026812,0.026883,-0.001948,-0.026812,0.026883,-0.026812,0.001948,-0.000000,0.000000,-108.585665,-32.575699
Phase_2,Install Cofferdam [Phase_2],-34.660000,102.648630,7,15,-0.001948,-0.026812,0.026883,-0.001948,-0.026812,0.026883,-0.026812,0.001948,-0.000000,0.000000,-108.580744,-32.574223
Phase_2,Install Cofferdam [Phase_2],-34.660000,103.111472,7,15,-0.001995,-0.026813,0.026887,-0.001995,-0.026813,0.026887,-0.026813,0.001995,-0.000000,0.000000,-93.591757,-28.077527
